base_title,episodes,year,rating,genres,mood,complexity,pacing,target_audience,themes,setting,art_style,popularity_score
Promare,1,2019,8.0,"['Action', 'Sci-Fi', 'Mecha']",fiery,low,very_fast,teen_adult,firefighters_mutants_style,futuristic_city,trigger,85
Grave of the Fireflies,1,1988,8.53,"['Drama']",tragic,low,slow,mature,war_family_survival,wartime_japan,realistic,85
Akira,1,1988,8.0,"['Sci-Fi', 'Action', 'Award Winning']",dystopian,high,fast,mature,power_corruption_friendship,cyberpunk,iconic,87
Ghost in the Shell,1,1995,8.0,"['Sci-Fi', 'Action', 'Award Winning']",philosophical,high,medium,mature,identity_technology_consciousness,cyberpunk,detailed,84
Perfect Blue,1,1997,8.55,"['Drama', 'Suspense', 'Award Winning', 'Horror']",psychological,very_high,medium,mature,identity_fame_reality,modern_urban,realistic,82
Paprika,1,2006,8.0,"['Sci-Fi', 'Award Winning']",surreal,high,fast,mature,dreams_reality_technology,modern_urban,colorful,80
Tokyo Ghoul,12,2014,7.79,"['Action', 'Supernatural', 'Horror']",dark,medium,fast,mature,identity_humanity_survival,modern_urban,dark,94
Clannad,23,2007,8.0,"['Comedy', 'Drama', 'Romance']",heartwarming,low,slow,teen,school_life_family_love,modern_school,soft,85
Angel Beats!,13,2010,8.09,"['Comedy', 'Drama']",bittersweet,medium,medium,teen,afterlife_regret_acceptance,school_afterlife,colorful,89
Toradora!,25,2008,8.05,"['Comedy', 'Romance']",heartwarming,low,medium,teen,tsundere_love_friendship,modern_school,cute,90
K-On!,41,2009,7.81,"['Comedy', 'Music', 'Slice of Life']",cute,low,slow,teen,music_friendship_school_life,modern_school,moe,87
Non Non Biyori,36,2013,7.94,"['Slice of Life', 'Comedy']",peaceful,low,very_slow,family,rural_life_childhood_friendship,modern_rural,cute,79
Ping Pong The Animation,11,2014,8.62,"['Drama', 'Sports', 'Award Winning']",artistic,high,medium,mature,talent_friendship_passion,modern_realistic,unique,83
Slam Dunk,101,1993,8.55,"['Sports', 'Comedy']",classic,low,medium,teen,basketball_delinquent_growth,90s_school,retro,88
Kuroko's Basketball,75,2012,8.06,"['Sports']",intense,low,fast,teen,basketball_rivalry_teamwork,modern_school,dynamic,91
My Hero Academia,138,2016,7.87,"['Action', 'Adventure']",inspiring,low,fast,teen,heroism_friendship_growth,modern_superhero,colorful,95
Steins;Gate 0,23,2018,8.44,"['Drama', 'Sci-Fi', 'Suspense']",depressing,very_high,slow,mature,grief_consequences_ai,modern_urban,realistic,89
Trigun,26,1998,8.19,"['Sci-Fi', 'Action', 'Comedy']",fun,medium,episodic,mature,pacifism_past_sins,space_western,classic_90s,86
Bleach,366,2004,7.88,"['Action', 'Adventure', 'Supernatural']",action_packed,medium,medium,teen,duty_friendship_power,modern_urban_spirit_world,stylish,97
5 Centimeters Per Second,1,2007,7.56,"['Drama', 'Romance']",melancholic,low,slow,mature,distance_love_time,modern_realistic,photorealistic,78
The Garden of Words,1,2013,7.87,"['Drama', 'Romance']",quiet,medium,slow,mature,age_gap_loneliness_rain,modern_urban,photorealistic,81
Weathering With You,1,2019,7.5,"['Drama', 'Romance', 'Award Winning']",romantic,medium,medium,teen,love_sacrifice_weather,modern_urban,stunning,92
Angel's Egg,1,1985,7.6,"['Avant Garde', 'Drama', 'Fantasy']",atmospheric,very_high,very_slow,mature,faith_despair_symbolism,post_apocalyptic,artistic,70
Cat Soup,1,2001,7.5,"['Avant Garde', 'Comedy', 'Horror']",surreal,very_high,fast,mature,life_death_journey,surreal_world,experimental,68
Magnetic Rose,1,1995,7.9,"['Sci-Fi', 'Horror', 'Suspense']",operatic,high,medium,mature,memory_loss_opera,space_wreckage,detailed,75
Stink Bomb,1,1995,7.1,"['Comedy', 'Sci-Fi']",black_humor,low,fast,mature,bio-weapon_bureaucracy,modern_japan,realistic,71
Cannon Fodder,1,1995,7.2,"['Sci-Fi']",dystopian,medium,slow,mature,war_propaganda,fortress_city,painted,72
Dead Leaves,1,2004,7.1,"['Action', 'Sci-Fi', 'Comedy', 'Avant Garde']",chaotic,low,very_fast,mature,prison_break_amnesia,space_prison,hyper-stylized,74
Vampire Hunter D: Bloodlust,1,2000,7.9,"['Action', 'Fantasy', 'Horror']",gothic,medium,medium,mature,vampire_hunting_romance,sci-fi_fantasy,dark_detailed,83
Metropolis,1,2001,7.6,"['Sci-Fi', 'Drama']",retro_futuristic,high,medium,mature,robots_humanity_class,futuristic_city,tezuka_classic,76
Steamboy,1,2004,7.3,"['Action', 'Sci-Fi', 'Adventure']",steampunk,medium,medium,family,invention_family_war,victorian_england,highly_detailed,78
The Animatrix,9,2003,7.7,"['Sci-Fi', 'Action', 'Anthology']",varied,high,episodic,mature,matrix_consciousness_humanity,cyberpunk_future,diverse,82
Final Fantasy VII: Advent Children,1,2005,7.2,"['Action', 'Fantasy', 'Sci-Fi']",action_packed,low,fast,teen_adult,redemption_guilt_fighting,post_final_fantasy_vii,cgi,85
Kara no Kyoukai (The Garden of Sinners),8,2007,8.2,"['Action', 'Mystery', 'Supernatural', 'Suspense']",philosophical,very_high,non_linear,mature,death_consciousness_duality,modern_japan,cinematic,84
Afro Samurai,5,2007,7.2,"['Action', 'Adventure']",stylish,low,medium,mature,revenge_samurai_hip_hop,afro-futuristic_japan,gritty,81
Black Lagoon,24,2006,8.0,"['Action']",cynical,medium,fast,mature,crime_mercenaries_morality,southeast_asia,gritty,87
Jormungand,24,2012,7.8,"['Action']",globetrotting,medium,medium,mature,arms_dealing_war_paradox,international,sharp,82
Darker than Black,25,2007,7.9,"['Action', 'Mystery', 'Sci-Fi', 'Supernatural']",noir,high,episodic,mature,contractors_humanity_mystery,modern_tokyo,dark,86
Claymore,26,2007,7.7,"['Action', 'Fantasy', 'Supernatural']",grim,medium,medium,mature,monsters_revenge_sisterhood,medieval_fantasy,gritty,85
Ga-Rei: Zero,12,2008,7.5,"['Action', 'Supernatural', 'Drama']",tragic,medium,fast,mature,betrayal_duty_love,modern_japan,standard,79
Elfen Lied,13,2004,7.4,"['Action', 'Horror', 'Drama', 'Supernatural']",brutal,medium,medium,very_mature,prejudice_humanity_trauma,modern_japan,bloody,88
Mirai Nikki (The Future Diary),26,2011,7.4,"['Action', 'Suspense', 'Supernatural']",survival_game,high,fast,mature,survival_obsession_love,modern_japan,edgy,90
Deadman Wonderland,12,2011,7.1,"['Action', 'Horror', 'Sci-Fi']",edgy,medium,fast,mature,prison_survival_conspiracy,prison_theme_park,dark,86
Highschool of the Dead,12,2010,7.2,"['Action', 'Horror', 'Ecchi']",zombies,low,fast,mature,zombies_survival_ecchi,post_apocalyptic_japan,polished,89
Gantz,26,2004,6.9,"['Action', 'Horror', 'Sci-Fi', 'Suspense']",nihilistic,high,medium,very_mature,survival_game_death_aliens,modern_tokyo,cgi_hybrid,83
Blood-C,12,2011,6.3,"['Action', 'Horror', 'Supernatural']",gory,medium,slow_then_fast,mature,monsters_mystery_deception,rural_town,clamp_horror,78
Corpse Party: Tortured Souls,4,2013,6.5,"['Horror', 'Mystery']",gruesome,low,fast,mature,ghosts_gore_school,haunted_school,gory,75
School Days,12,2007,5.7,"['Drama', 'Romance', 'Horror']",infamous,low,medium,mature,infidelity_jealousy_madness,modern_school,standard,80
Btooom!,12,2012,7.2,"['Action', 'Suspense', 'Sci-Fi']",survival,medium,fast,mature,survival_game_bombs,deserted_island,standard,83
Darwin's Game,11,2020,7.1,"['Action', 'Suspense', 'Sci-Fi']",strategic,medium,fast,teen_adult,survival_game_superpowers,modern_japan,modern,82
Kaiji: Ultimate Survivor,52,2007,8.2,"['Suspense']",intense,high,medium,mature,gambling_debt_psychology,underground,stylized,81
Akagi,26,2005,8.0,"['Suspense']",high_stakes,high,slow,mature,mahjong_gambling_genius,post_war_japan,stylized,77
One Outs,25,2008,8.2,"['Sports', 'Suspense']",psychological,high,medium,mature,baseball_psychological_warfare,pro_baseball_japan,stylized,79
Liar Game (manga),0,2005,8.5,"['Suspense', 'Mystery']",intelligent,very_high,medium,mature,deception_trust_psychology,game_setting,sharp,80
Tomodachi Game,12,2022,7.5,"['Suspense']",distrustful,high,medium,mature,friendship_betrayal_money,game_setting,modern,81
Classroom of the Elite,25,2017,7.8,"['Drama', 'Suspense']",manipulative,high,medium,teen,school_hierarchy_intelligence,elite_high_school,sleek,91
Kakegurui – Compulsive Gambler,24,2017,7.3,"['Drama', 'Suspense']",manic,medium,fast,mature,gambling_ecstasy_hierarchy,gambling_academy,expressive,89
Welcome to the N.H.K.,24,2006,8.2,"['Comedy', 'Drama', 'Slice of Life']",dark_comedy,high,medium,mature,hikikomori_conspiracy_mental_health,modern_japan,simple,83
The Tatami Galaxy,11,2010,8.58,"['Mystery', 'Romance', 'Avant Garde']",fast_talking,very_high,very_fast,mature,college_life_choices_fate,kyoto_university,unique,81
Night is Short, Walk On Girl,1,2017,8.08,"['Comedy', 'Romance', 'Avant Garde']",energetic,high,fast,mature,love_fate_nightlife,kyoto,unique_yuasa,78
Humanity Has Declined,12,2012,7.7,"['Comedy', 'Fantasy', 'Sci-Fi']",satirical,high,episodic,mature,satire_post_apocalypse_fairies,post_apocalyptic_world,pastel,76
Sayonara, Zetsubou-Sensei,38,2007,7.8,"['Comedy', 'Satire']",cynical,high,fast,mature,satire_despair_social_commentary,modern_school,shaft,78
Panty & Stocking with Garterbelt,13,2010,7.8,"['Action', 'Comedy', 'Ecchi']",crass,low,very_fast,mature,parody_angels_demons,cartoonish_city,western_cartoon,83
Space Dandy,26,2014,7.8,"['Sci-Fi', 'Comedy']",groovy,low,episodic,mature,alien_hunting_adventure_comedy,space,colorful,80
Excel Saga,26,1999,7.5,"['Comedy', 'Sci-Fi']",manic,low,very_fast,mature,parody_anime_tropes_absurdity,modern_fukuoka,classic_90s,74
Bobobo-bo Bo-bobo,76,2003,7.2,"['Comedy', 'Action']",absurdist,low,episodic,family,parody_shonen_nose_hair,dystopian_future,gag_manga,75
Azumanga Daioh,26,2002,7.9,"['Comedy', 'Slice of Life']",charming,low,episodic,teen,high_school_girls_comedy,modern_school,simple,80
Lucky Star,24,2007,7.6,"['Comedy', 'Slice of Life']",otaku_humor,low,very_slow,teen,otaku_culture_school_life_parody,modern_school,moe,86
Daily Lives of High School Boys,12,2012,8.1,"['Comedy', 'Slice of Life']",relatable_comedy,low,episodic,teen,high_school_boys_comedy,modern_school,simple,84
Cromartie High School,26,2003,7.8,"['Comedy']",absurd,low,episodic,teen,delinquents_parody_surrealism,delinquent_high_school,simple,73
Haven't You Heard? I'm Sakamoto,12,2016,7.7,"['Comedy', 'Slice of Life']",cool,low,episodic,teen,perfection_parody_school_life,modern_school,stylish,82
Asobi Asobase -workshop of fun-,12,2018,7.9,"['Comedy', 'Slice of Life']",chaotic,low,episodic,teen_adult,middle_school_girls_absurd_comedy,modern_school,cute_and_crude,83
Chio's School Road,12,2018,7.4,"['Comedy', 'Slice of Life']",wacky,low,episodic,teen,commuting_gaming_absurdity,modern_town,standard,77
Detroit Metal City,12,2008,8.1,"['Comedy', 'Music']",crude,low,very_fast,mature,death_metal_parody_duality,modern_japan,raw,75
GTO: Great Teacher Onizuka,43,1999,8.6,"['Comedy', 'Drama', 'Slice of Life']",inspirational,low,episodic,mature,teaching_delinquents_reform,modern_school,classic_90s,87
Golden Boy,6,1995,8.0,"['Comedy', 'Ecchi']",perverted,low,episodic,mature,learning_ecchi_comedy,various_japan,classic_90s,82
School Rumble,52,2004,7.8,"['Comedy', 'Romance']",misunderstandings,low,medium,teen,love_triangle_comedy_school,modern_school,standard,85
Full Metal Panic!,24,2002,7.6,"['Action', 'Comedy', 'Mecha']",hybrid,medium,medium,teen,military_high_school_comedy,modern_world,standard,84
Full Metal Panic? Fumoffu,12,2003,8.0,"['Comedy']",hilarious,low,episodic,teen,slapstick_comedy_school,modern_school,standard,83
Full Metal Panic! The Second Raid,13,2005,8.1,"['Action', 'Drama', 'Mecha']",serious,medium,medium,mature,ptsd_war_terrorism,modern_world,detailed,82
Amagi Brilliant Park,13,2014,7.5,"['Comedy', 'Fantasy']",entertaining,low,medium,teen,amusement_park_management_fantasy,modern_japan,kyoto_animation,83
Blend S,12,2017,7.3,"['Comedy', 'Slice of Life']",cute,low,medium,teen,cafe_work_personality_tropes,modern_japan,moe,86
New Game!,24,2016,7.6,"['Comedy', 'Slice of Life']",motivating,low,slow,teen,game_development_work_life,game_studio,cute,82
Working!!,39,2010,7.7,"['Comedy', 'Slice of Life', 'Romance']",workplace_comedy,low,medium,teen,restaurant_work_romance,family_restaurant,simple,83
Servant x Service,13,2013,7.5,"['Comedy', 'Slice of Life']",office_comedy,low,medium,teen_adult,civil_service_work_romance,government_office,simple,78
The Royal Tutor,12,2017,7.4,"['Comedy', 'Slice of Life']",charming,low,medium,teen,tutoring_royalty_growth,fantasy_kingdom,elegant,75
Barakamon,12,2014,8.34,"['Comedy', 'Slice of Life']",heartwarming,low,slow,family,calligraphy_rural_life_community,modern_rural_island,soft,83
Handa-kun,12,2016,7.2,"['Comedy', 'Slice of Life']",misunderstood,low,medium,teen,prequel_comedy_misunderstandings,modern_school,soft,76
Silver Spoon,22,2013,8.3,"['Comedy', 'Slice of Life']",educational,low,medium,teen,agriculture_coming_of_age,agricultural_high_school,realistic,82
Moyashimon: Tales of Agriculture,11,2007,7.6,"['Comedy', 'Slice of Life', 'Supernatural']",quirky,low,medium,teen_adult,microbes_agriculture_university,agricultural_university,unique,74
Flying Witch,12,2016,7.6,"['Slice of Life', 'Supernatural']",relaxing,low,very_slow,family,witch_rural_life_family,modern_aomori,soft,79
Sweetness & Lightning,12,2016,7.5,"['Slice of Life', 'Comedy']",wholesome,low,slow,family,cooking_family_grief,modern_japan,soft,80
Poco's Udon World,12,2016,7.4,"['Slice of Life', 'Fantasy']",heartwarming,low,slow,family,family_tanuki_udon,modern_kagawa,soft,76
My Roommate is a Cat,12,2019,7.7,"['Slice of Life', 'Comedy']",dual_perspective,low,slow,family,pet_ownership_social_anxiety,modern_japan,soft,81
Teasing Master Takagi-san,36,2018,7.8,"['Comedy', 'Romance', 'Slice of Life']",cute,low,slow,teen,teasing_first_love_middle_school,modern_school,simple,85
Uzaki-chan Wants to Hang Out!,25,2020,6.9,"['Comedy', 'Romance', 'Slice of Life']",playful,low,medium,teen_adult,teasing_senpai_kouhai,modern_university,standard,84
Don't Toy with Me, Miss Nagatoro,24,2021,7.2,"['Comedy', 'Romance', 'Slice of Life']",teasing,low,medium,teen_adult,teasing_art_romance,modern_school,standard,86
Rascal Does Not Dream of Bunny Girl Senpai,13,2018,8.2,"['Comedy', 'Drama', 'Romance', 'Supernatural']",witty,high,medium,teen_adult,puberty_syndrome_love_quantum,modern_school,sharp,92
The Pet Girl of Sakurasou,24,2012,8.1,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",motivational,medium,medium,teen,talent_hard_work_love,high_school_dorm,vibrant,88
My Teen Romantic Comedy SNAFU,38,2013,8.0,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",cynical,high,medium,teen_adult,social_outcast_philosophy_love,modern_school,sharp,91
ReLIFE,13,2016,8.0,"['Drama', 'Romance', 'Slice of Life']",second_chance,medium,medium,teen_adult,second_chance_high_school_adulthood,modern_school,clean,89
Orange,13,2016,7.5,"['Drama', 'Romance', 'Sci-Fi']",melodramatic,medium,slow,teen,regret_suicide_friendship,modern_school,soft,87
Scum's Wish,12,2017,7.2,"['Drama', 'Romance']",mature,medium,medium,mature,unrequited_love_sexuality,modern_school,stylish,84
Domestic Girlfriend,12,2019,6.5,"['Drama', 'Romance']",messy,medium,fast,mature,forbidden_love_teacher_student,modern_school,standard,83
Rent-a-Girlfriend,36,2020,6.8,"['Comedy', 'Romance']",cringey,low,medium,teen_adult,rental_girlfriend_lies_love,modern_university,vibrant,88
My Little Monster,13,2012,7.5,"['Comedy', 'Romance']",quirky,low,medium,teen,social_outcasts_love_friendship,modern_school,standard,86
Ao Haru Ride (Blue Spring Ride),12,2014,7.6,"['Drama', 'Romance', 'Slice of Life']",nostalgic,low,medium,teen,first_love_reconnecting,modern_school,classic_shoujo,87
Say "I Love You",13,2012,7.4,"['Romance', 'Slice of Life']",sweet,low,medium,teen,popularity_love_friendship,modern_school,soft,85
Lovely Complex,24,2007,8.0,"['Comedy', 'Romance']",comedic,low,medium,teen,height_complex_love_comedy,modern_school,comedic,84
Special A,24,2008,7.6,"['Comedy', 'Romance']",rivalry,low,medium,teen,rivalry_love_elite_school,elite_high_school,standard,82
Wolf Girl and Black Prince,12,2014,7.1,"['Comedy', 'Romance']",problematic,low,medium,teen,fake_relationship_sadism,modern_school,standard,81
Kamisama Kiss,25,2012,7.9,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']",charming,low,medium,teen,gods_yokai_love,modern_shrine,classic_shoujo,88
Snow White with the Red Hair,24,2015,7.7,"['Drama', 'Fantasy', 'Romance']",fairytale,low,medium,teen,herbalist_prince_love,medieval_fantasy,beautiful,86
Noragami,25,2014,8.0,"['Action', 'Comedy', 'Supernatural']",fun,medium,medium,teen,gods_spirits_friendship,modern_japan,vibrant,92
The Devil is a Part-Timer!,25,2013,7.7,"['Comedy', 'Fantasy', 'Romance']",reverse_isekai,low,medium,teen,demon_lord_fast_food_comedy,modern_tokyo,standard,91
Blue Exorcist,37,2011,7.5,"['Action', 'Fantasy', 'Supernatural']",shonen,medium,medium,teen,demons_exorcists_family,exorcist_academy,standard,93
Seraph of the End: Vampire Reign,24,2015,7.4,"['Action', 'Drama', 'Supernatural']",post_apocalyptic,medium,medium,mature,vampires_revenge_family,post_apocalyptic_japan,sharp,90
The Irregular at Magic High School,52,2014,7.2,"['Action', 'Sci-Fi', 'Supernatural']",overpowered_mc,high,medium,teen,magic_technology_school,magic_high_school,sleek,88
Sword Art Online,96,2012,7.2,"['Action', 'Adventure', 'Fantasy', 'Romance']",virtual_reality,medium,fast,teen,vrmmorpg_survival_love,virtual_worlds,modern,96
Accel World,24,2012,7.2,"['Action', 'Romance', 'Sci-Fi']",virtual_reality,medium,medium,teen,vr_fighting_bullying,near_future_japan,unique,84
Is It Wrong to Try to Pick Up Girls in a Dungeon?,49,2015,7.5,"['Action', 'Adventure', 'Comedy', 'Fantasy']",dungeon_crawl,low,medium,teen,adventure_familia_growth,fantasy_city,standard,90
Cautious Hero: The Hero Is Overpowered but Overly Cautious,12,2019,7.5,"['Adventure', 'Comedy', 'Fantasy', 'Isekai']",comedic,low,medium,teen,parody_overpowered_mc_caution,fantasy_world,standard,85
Saga of Tanya the Evil,12,2017,7.8,"['Action', 'Fantasy', 'Isekai']",military,high,medium,mature,war_magic_reincarnation,alternate_ww1_europe,sharp,87
Grimgar: Ashes and Illusions,12,2016,7.6,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Isekai']",grounded,medium,slow,mature,survival_grief_teamwork,fantasy_world,watercolor,82
Drifters,12,2016,7.8,"['Action', 'Fantasy', 'Historical', 'Isekai']",violent,medium,medium,mature,historical_figures_war_fantasy,fantasy_world,gritty_stylized,81
GATE,24,2015,7.6,"['Action', 'Fantasy', 'Adventure']",military_isekai,medium,medium,mature,modern_military_vs_fantasy,fantasy_world_modern_japan,standard,86
The Familiar of Zero,49,2006,7.2,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Isekai']",tsundere,low,medium,teen,magic_isekai_romance,magic_academy,classic_isekai,83
Dog Days,38,2011,6.8,"['Action', 'Adventure', 'Fantasy', 'Isekai']",fluffy,low,medium,teen,war_games_animal_people,fantasy_world,cute,75
The Heroic Legend of Arslan,33,2015,7.6,"['Action', 'Adventure', 'Drama', 'Historical']",war_epic,high,medium,teen_adult,war_strategy_royalty,persian_inspired_fantasy,detailed,80
Alderamin on the Sky,13,2016,7.6,"['Action', 'Adventure', 'Fantasy']",strategic,high,medium,mature,military_strategy_laziness,fantasy_empire,standard,78
Record of Grancrest War,24,2018,6.8,"['Action', 'Fantasy', 'Romance']",fast_paced,medium,fast,teen_adult,war_politics_romance,fantasy_world,standard,77
Record of Lodoss War,13,1990,7.3,"['Action', 'Adventure', 'Fantasy']",classic_fantasy,low,medium,teen,dnd_adventure_war,fantasy_island,classic_90s,75
Slayers,104,1995,7.8,"['Adventure', 'Comedy', 'Fantasy']",comedic_fantasy,low,episodic,teen,magic_adventure_comedy,fantasy_world,classic_90s,80
Magic Knight Rayearth,49,1994,7.6,"['Adventure', 'Comedy', 'Fantasy', 'Mecha']",magical_girl,medium,medium,teen,isekai_magical_girls_rpg,fantasy_world,classic_clamp,79
Fushigi Yugi: The Mysterious Play,52,1995,7.4,"['Adventure', 'Fantasy', 'Romance']",reverse_harem,low,medium,teen,isekai_romance_destiny,ancient_china,classic_shoujo,82
The Twelve Kingdoms,45,2002,8.0,"['Action', 'Adventure', 'Fantasy']",world_building,high,slow,mature,isekai_politics_growth,chinese_inspired_fantasy,classic,78
Escaflowne,26,1996,7.8,"['Adventure', 'Fantasy', 'Mecha', 'Romance']",epic,medium,medium,teen,fate_war_love,fantasy_world,classic_shoujo,81
Now and Then, Here and There,13,1999,7.7,"['Adventure', 'Drama', 'Sci-Fi']",harrowing,medium,medium,mature,child_soldiers_war_despair,dystopian_desert_world,classic_90s,74
Casshern Sins,24,2008,7.2,"['Action', 'Drama', 'Sci-Fi']",melancholy,high,slow,mature,amnesia_ruin_redemption,post_apocalyptic_world,stylized,73
Gungrave,26,2003,7.9,"['Action', 'Drama', 'Sci-Fi']",tragic,medium,slow_then_fast,mature,betrayal_revenge_friendship,sci_fi_city,dark,76
Phantom: Requiem for the Phantom,26,2009,7.9,"['Action', 'Drama', 'Suspense']",noir,high,medium,mature,assassins_amnesia_tragedy,modern_world,dark,79
91 Days,12,2016,7.7,"['Action', 'Drama', 'Historical']",revenge,medium,medium,mature,mafia_revenge_prohibition,prohibition_era_america,gritty,81
Gangsta.,12,2015,7.1,"['Action', 'Drama']",gritty,medium,medium,mature,crime_disability_superhumans,crime_ridden_city,rough,80
Michiko & Hatchin,22,2008,7.8,"['Action', 'Adventure']",road_trip,medium,episodic,mature,mother_daughter_freedom,south_america_inspired,vibrant,77
Canaan,13,2009,7.1,"['Action', 'Suspense']",synesthesia,medium,fast,mature,terrorism_bio_weapons_past,shanghai,sharp,76
Gunslinger Girl,13,2003,7.6,"['Action', 'Drama', 'Sci-Fi']",somber,medium,slow,mature,child_soldiers_cyborgs_tragedy,modern_italy,realistic,78
Noir,26,2001,7.2,"['Action', 'Drama', 'Mystery']",stylish,medium,episodic,mature,assassins_memory_conspiracy,europe,subdued,73
Madlax,26,2004,6.7,"['Action', 'Drama', 'Mystery']",confusing,high,slow,mature,war_memory_mystery,fictional_countries,standard,65
El Cazador de la Bruja,26,2007,6.9,"['Action', 'Adventure']",laid_back,low,episodic,mature,road_trip_bounty_hunter_witch,mexico,standard,67
A Certain Scientific Railgun,48,2009,7.7,"['Action', 'Sci-Fi', 'Supernatural']",esper,medium,medium,teen,superpowers_friendship_conspiracy,academy_city,modern,89
A Certain Magical Index,74,2008,7.4,"['Action', 'Sci-Fi', 'Supernatural']",magic_vs_science,high,medium,teen,magic_science_conspiracy,academy_city,modern,88
Durarara!!x2,36,2015,7.8,"['Action', 'Mystery', 'Supernatural']",complex,high,medium,mature,interconnected_stories_gangs,modern_tokyo,stylish,87
The World God Only Knows,36,2010,7.7,"['Comedy', 'Romance', 'Supernatural']",dating_sim,low,episodic,teen,conquest_galge_demons,modern_school,standard,85
Nisekoi: False Love,32,2014,7.4,"['Comedy', 'Romance']",harem,low,medium,teen,fake_relationship_harem_keys,modern_school,shaft,89
The Familiar of Zero,49,2006,7.2,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Isekai']",tsundere,low,medium,teen,magic_isekai_romance,magic_academy,classic_isekai,83
To Love Ru,64,2008,7.0,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",harem_ecchi,low,medium,mature,aliens_harem_ecchi,modern_school,standard,86
Rosario + Vampire,26,2008,6.8,"['Comedy', 'Ecchi', 'Romance', 'Supernatural']",monster_harem,low,medium,teen,monsters_school_harem,monster_academy,standard,85
Date A Live,46,2013,7.2,"['Comedy', 'Mecha', 'Romance', 'Sci-Fi']",dating_spirits,medium,medium,teen,spirits_dating_harem,futuristic_japan,standard,87
Infinite Stratos,24,2011,6.8,"['Action', 'Comedy', 'Mecha', 'Harem']",mecha_harem,low,medium,teen,mecha_school_harem,mecha_academy,sleek,84
The Testament of Sister New Devil,22,2015,6.6,"['Action', 'Comedy', 'Ecchi', 'Fantasy']",ecchi,low,medium,mature,demons_master_servant_ecchi,modern_school,standard,82
High School DxD,49,2012,7.4,"['Comedy', 'Ecchi', 'Supernatural']",ecchi,low,medium,mature,demons_angels_harem,modern_school,standard,90
Trinity Seven,12,2014,7.1,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem']",magic_harem,low,medium,teen,magic_school_harem,magic_academy,standard,85
Strike the Blood,48,2013,7.1,"['Action', 'Ecchi', 'Supernatural']",vampire_harem,medium,medium,teen,vampires_harem_action,demon_island_city,modern,83
Chivalry of a Failed Knight,12,2015,7.4,"['Action', 'Fantasy', 'Romance']",underrated,medium,fast,teen,underdog_romance_magic,magic_knight_academy,modern,86
The Asterisk War,24,2015,6.9,"['Action', 'Fantasy', 'Romance']",generic,medium,medium,teen,magic_tournaments_harem,magic_academy,modern,82
Undefeated Bahamut Chronicle,12,2016,6.7,"['Action', 'Fantasy', 'Mecha', 'Harem']",mecha_harem,low,medium,teen,overpowered_mc_harem,mecha_academy,standard,78
World Break: Aria of Curse for a Holy Swordsman,12,2015,6.4,"['Action', 'Fantasy', 'Harem']",overpowered,low,medium,teen,past_lives_op_mc,magic_school,standard,75
In Another World With My Smartphone,12,2017,6.4,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Harem']",wish_fulfillment,low,slow,teen,isekai_smartphone_op_mc,fantasy_world,standard,80
Death March to the Parallel World Rhapsody,12,2018,6.3,"['Adventure', 'Fantasy', 'Isekai', 'Harem']",chill_isekai,low,slow,teen,isekai_game_dev_op_mc,fantasy_world,standard,77
How Not to Summon a Demon Lord,22,2018,6.9,"['Comedy', 'Ecchi', 'Fantasy', 'Isekai']",isekai_ecchi,low,medium,mature,isekai_demon_lord_slavery,fantasy_world,standard,84
Arifureta: From Commonplace to World's Strongest,25,2019,6.7,"['Action', 'Adventure', 'Fantasy', 'Isekai']",edgy_isekai,medium,fast,mature,betrayal_revenge_op_mc,fantasy_world,standard,85
The Master of Ragnarok & Blesser of Einherjar,12,2018,5.7,"['Fantasy', 'Isekai', 'Harem']",isekai,low,medium,teen,isekai_strategy_smartphone,viking_fantasy,standard,70
Wise Man's Grandchild,12,2019,6.8,"['Action', 'Comedy', 'Fantasy', 'Isekai']",overpowered,low,medium,teen,isekai_magic_op_mc,fantasy_world,standard,81
By the Grace of the Gods,24,2020,6.7,"['Fantasy', 'Slice of Life', 'Isekai']",healing,low,slow,family,isekai_slimes_healing,fantasy_world,soft,76
Kuma Kuma Kuma Bear,24,2020,6.8,"['Adventure', 'Comedy', 'Fantasy', 'Isekai']",cute,low,slow,teen,isekai_bear_suit_op_mc,fantasy_world,cute,78
BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.,24,2020,7.3,"['Action', 'Adventure', 'Comedy', 'Fantasy']",fun,low,medium,teen,vrmmorpg_op_mc_comedy,game_world,cute,83
Suppose a Kid from the Last Dungeon Boonies moved to a starter town?,12,2021,6.6,"['Adventure', 'Comedy', 'Fantasy']",gag,low,medium,teen,overpowered_mc_comedy,fantasy_city,standard,77
Combatants Will Be Dispatched!,12,2021,7.1,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",konosuba_author,low,medium,teen_adult,comedy_conquest_isekai_adjacent,fantasy_planet,standard,80
